Player,Team,Baseline TOI,Clutch TOI,Baseline SV%,Clutch SV%,Elevated SV%,Baseline HDSV%,Clutch HDSV%,Elevated HDSV%,Baseline GSAx/60,Clutch GSAx/60,Elevated GSAx/60,Absolute Clutchness,Elevation,Clutchness
Erik Portillo,L.A,58.62,70.62,0.966,0.98,0.014,0.889,0.933,0.044,2.32,5.532,3.212,1.02,1.09,1.05
Nico Daws,N.J,262.85,228,0.939,0.961,0.022,0.927,0.97,0.043,1.2,3.608,2.408,0.9,0.82,0.87
Drew Commesso,CHI,71.35,66.3,0.846,0.914,0.068,0.499,0.759,0.26,-0.25,3.74,3.99,0.46,1.44,0.85
Jet Greaves,CBJ,660.1,494.67,0.938,0.938,0,0.889,0.879,-0.01,1.2,2.282,1.082,0.61,0.36,0.51
Dustin Tokarski,CAR,358.32,247.85,0.902,0.927,0.025,0.794,0.87,0.076,-0.02,1.376,1.396,0.5,0.5,0.5
Arvid Soderblom,CHI,2096.5,1915.83,0.898,0.902,0.004,0.782,0.806,0.024,-0.03,1.374,1.404,0.34,0.48,0.4
Yaroslav Askarov,S.J,716.8,687.75,0.897,0.877,-0.02,0.823,0.848,0.025,0.19,1.58,1.39,0.35,0.46,0.39
Jacob Markstrom,N.J,2903.02,3199.58,0.9,0.897,-0.003,0.812,0.899,0.087,0.04,0.878,0.838,0.44,0.31,0.39
Kevin Lankinen,VAN,3019.78,2752.13,0.902,0.901,-0.001,0.801,0.819,0.018,0.03,1.258,1.228,0.35,0.42,0.38
Leevi Merilainen,OTT,662.98,623.05,0.925,0.919,-0.006,0.807,0.801,-0.006,0.37,1.41,1.04,0.38,0.34,0.36
Mackenzie Blackwood,"COL, S.J",3223.63,2764.35,0.912,0.902,-0.01,0.834,0.845,0.011,0.41,1.348,0.938,0.4,0.31,0.36
Connor Ingram,UTA,1210.12,1109.33,0.882,0.872,-0.01,0.798,0.83,0.032,-0.35,0.909,1.259,0.27,0.43,0.33
Frederik Andersen,CAR,1319.52,2463.2,0.899,0.9,0.001,0.823,0.86,0.037,0.31,1.015,0.705,0.39,0.25,0.33
Daniil Tarasov,CBJ,1100.42,776.03,0.881,0.889,0.008,0.778,0.798,0.02,-0.32,0.88,1.2,0.26,0.41,0.32
Sam Montembeault,MTL,3533.98,3384.53,0.901,0.893,-0.008,0.821,0.845,0.024,0.44,0.936,0.496,0.35,0.17,0.28
Dustin Wolf,CGY,3182.37,2909.48,0.91,0.897,-0.013,0.834,0.831,-0.003,0.25,0.785,0.535,0.32,0.17,0.26
Juuse Saros,NSH,3357.82,2991.13,0.895,0.889,-0.006,0.816,0.822,0.006,-0.21,0.54,0.75,0.27,0.25,0.26
Igor Shesterkin,NYR,3505.13,3179.1,0.904,0.891,-0.013,0.816,0.814,-0.002,0.32,0.956,0.636,0.29,0.21,0.26
Jaxson Stauber,UTA,313.18,160.22,0.892,0.866,-0.026,0.811,0.848,0.037,-0.22,0.498,0.718,0.25,0.24,0.25
Cayden Primeau,MTL,523.7,386.88,0.836,0.851,0.015,0.779,0.829,0.05,-1.22,-0.093,1.127,0.14,0.4,0.24
Sergei Bobrovsky,FLA,3200.02,5366.65,0.905,0.9,-0.005,0.808,0.798,-0.01,0.06,0.681,0.621,0.27,0.2,0.24
Joel Blomqvist,PIT,772.45,681.47,0.885,0.88,-0.005,0.869,0.927,0.058,-0.61,-0.525,0.085,0.34,0.05,0.22
Jake Oettinger,DAL,3410.07,4844.5,0.909,0.896,-0.013,0.778,0.798,0.02,0.24,0.691,0.451,0.26,0.15,0.22
Ilya Sorokin,NYI,3499.45,2962.3,0.907,0.886,-0.021,0.834,0.825,-0.009,0.2,0.547,0.347,0.27,0.11,0.21
Karel Vejmelka,UTA,3368.33,3100.43,0.904,0.889,-0.015,0.784,0.794,0.01,0.21,0.609,0.399,0.23,0.13,0.19
Joonas Korpisalo,BOS,1529.7,1312.07,0.893,0.88,-0.013,0.783,0.756,-0.027,-0.03,0.678,0.708,0.16,0.22,0.18
Jordan Binnington,STL,3239.9,3410.22,0.9,0.882,-0.018,0.803,0.794,-0.009,0.01,0.468,0.458,0.21,0.14,0.18
Samuel Ersson,PHI,2601.78,2036.62,0.883,0.871,-0.012,0.776,0.76,-0.016,-0.53,0.234,0.764,0.11,0.25,0.17
Adin Hill,VGK,2940.22,3807.58,0.907,0.893,-0.014,0.801,0.792,-0.009,0.17,0.397,0.227,0.23,0.07,0.17
Filip Gustavsson,MIN,3423.58,3668.37,0.914,0.899,-0.015,0.837,0.843,0.006,0.16,-0.034,-0.194,0.29,-0.07,0.15
Akira Schmid,VGK,238.1,218.63,0.944,0.709,-0.235,0.814,0.666,-0.148,0.93,3.419,2.489,-0.23,0.7,0.14
Arturs Silovs,VAN,542.52,410.2,0.861,0.873,0.012,0.762,0.742,-0.02,-1.19,-0.354,0.836,0.05,0.28,0.14
Marcus Hogberg,NYI,728.22,571.2,0.878,0.865,-0.013,0.75,0.741,-0.009,-0.55,0.168,0.718,0.06,0.23,0.13
Pyotr Kochetkov,CAR,2790.7,2599.57,0.897,0.883,-0.014,0.846,0.779,-0.067,0.09,0.314,0.224,0.18,0.05,0.13
Dennis Hildeby,TOR,360.82,224.38,0.872,0.874,0.002,0.771,0.879,0.108,-0.71,-0.886,-0.176,0.22,-0.02,0.12
Petr Mrazek,"CHI, DET",2080.12,1651.33,0.891,0.88,-0.011,0.788,0.786,-0.002,-0.33,-0.106,0.224,0.15,0.07,0.12
Lukas Dostal,ANA,2997.73,2639.7,0.902,0.881,-0.021,0.801,0.788,-0.013,0.21,0.301,0.091,0.18,0.02,0.12
Tristan Jarry,PIT,2019.9,1724.35,0.892,0.882,-0.01,0.793,0.747,-0.046,-0.28,0.052,0.332,0.11,0.09,0.1
Thatcher Demko,VAN,1301.97,1027.98,0.889,0.861,-0.028,0.795,0.81,0.015,0.03,0.019,-0.011,0.15,-0.01,0.09
Alex Nedeljkovic,PIT,2150.85,1596.4,0.894,0.88,-0.014,0.801,0.791,-0.01,-0.22,-0.203,0.017,0.15,0,0.09
Spencer Knight,"CHI, FLA",2202.85,1863.77,0.901,0.866,-0.035,0.859,0.859,0,0.13,-0.163,-0.293,0.22,-0.11,0.09
Alex Lyon,DET,1559.63,1209.65,0.896,0.866,-0.03,0.816,0.81,-0.006,0.12,-0.037,-0.157,0.16,-0.06,0.07
Anthony Stolarz,TOR,1986.9,2468.28,0.925,0.893,-0.032,0.847,0.836,-0.011,0.87,0.179,-0.691,0.28,-0.24,0.07
Darcy Kuemper,L.A,2973.65,3376.62,0.921,0.882,-0.039,0.85,0.824,-0.026,0.56,0.115,-0.445,0.23,-0.17,0.07
Philipp Grubauer,SEA,1460.48,1126.68,0.875,0.861,-0.014,0.782,0.732,-0.05,-0.69,-0.237,0.453,0.01,0.13,0.06
Alexandar Georgiev,"COL, S.J",2671.8,2329.23,0.875,0.857,-0.018,0.786,0.807,0.021,-0.53,-0.546,-0.016,0.09,0,0.05
Logan Thompson,WSH,2535.15,3319.2,0.91,0.892,-0.018,0.829,0.765,-0.064,0.58,0.242,-0.338,0.17,-0.14,0.05
Jonathan Quick,NYR,1325.68,945.3,0.893,0.863,-0.03,0.807,0.778,-0.029,-0.22,-0.259,-0.039,0.08,-0.03,0.04
